location,operator,route,type,all_aboard,passengers_aboard,crew_aboard,total_fatalities,passenger_fatalities,crew_fatalities,ground,year,month,day,country,decade,scale
"Off of Santos, Brazil",Syndicato Condor,Porto Alegre - Laguna - Rio de Janeiro,Junkers G-24,9.0,8.0,1.0,1.0,1.0,0.0,0.0,1930,Noviembre,Viernes,BRAZIL,1930,Con escala
"Techachapi Mountains, California",Pacific Air Transport,"Burbank, CA - Oakland, CA",Boeing 40,3.0,0.0,3.0,3.0,0.0,3.0,,1930,Noviembre,Martes,EEUU,1930,Sin escala
"Shanghai, China",China National Aviation Corporation,Shanghai - Hankow,Loening C-W Air Yaht,6.0,4.0,2.0,4.0,2.0,2.0,0.0,1930,Diciembre,Martes,CHINA,1930,Sin escala
"Melle, Belgium",Sabena,Brussels - London,Fokker F-VII,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1931,Enero,Jueves,BELGIUM,1930,Sin escala
"Bluff Mountain, Washington",Varney Air Lines,Portland - Pasco,Boeing 40,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,Enero,Jueves,EEUU,1930,Sin escala
"Wairoa, New Zealand",Dominion Air Lines,Gisborne - Hastings,Desoutter II,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1931,Febrero,Domingo,NEW ZEALAND,1930,Sin escala
"Bagot, Manitoba, Canada",Western Canada Airways,Winnigeg - Moosejaw,Fokker Universal F-14,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1931,Febrero,Viernes,CANADA,1930,Sin escala
Off Spain,Aeropostale,Algiers – Marseille,Latecoere 32,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1931,Febrero,Martes,OFF SPAIN,1930,Sin escala
"New South Wales, Australia",Australian National Airways,Sydney - Melbourne,Avro 10,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1931,Marzo,Sábado,AUSTRALIA,1930,Sin escala
"Bazaar, Kansas",Trans Continental and Western Air,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1931,Marzo,Martes,EEUU,1930,Con escala
"Near Letschen, Germany",Deutsche Lufthansa,,Messerschmitt M-20,10.0,7.0,3.0,2.0,0.0,2.0,0.0,1931,Abril,Martes,GERMANY,1930,Sin dato
"Burbank, California",Pacific Air Transport,San Diego - Los Angeles,Boeing 40,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1931,Mayo,Martes,EEUU,1930,Sin escala
"Wampit, Australia",Guiena Airways,Lae - Bulolo,Junkers W-34,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,Mayo,Viernes,AUSTRALIA,1930,Sin escala
"Bellefonte, Pennsylvania",National Air Transport,,Boeing 95,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,Mayo,Domingo,EEUU,1930,Sin dato
"Near Sandoway, Burma",Air Orient,Saigon - Karachi,Fokker F-VIIB,4.0,0.0,4.0,4.0,0.0,4.0,0.0,1931,Junio,Domingo,BURMA,1930,Sin escala
"Walbridge, Ohio",Rubner Flying Service,,Lockheed Vega 2,3.0,1.0,2.0,2.0,0.0,2.0,0.0,1931,Junio,Jueves,EEUU,1930,Sin dato
"Saarbrucken, Germany",Deutsche Lufthansa,Cologne - Saarbrucken,Dornier Merkur,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1931,Junio,Sábado,GERMANY,1930,Sin escala
"Chicago, Illinois",Braniff Airlines,Chicago - Detroit,Lockheed Vega,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1931,Julio,Domingo,EEUU,1930,Sin escala
"Temora, Australia",Australian Aerial Services,,Lasco Lascowl,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1931,Julio,Martes,AUSTRALIA,1930,Sin dato
"Centralia, Illinois",American Airways,,Pitcairn PA-6 Mailwing,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,Julio,Martes,EEUU,1930,Sin dato
"Kurudjevo, Bulgaria",CIDNA,Constantinople - Budapest,Fokker F-VII,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1931,Julio,Viernes,BULGARIA,1930,Sin escala
"Cincinnati, Ohio",American Airways,Cincinnati - Atlanta,Ford 5-AT-C Tri Motor,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1931,Agosto,Domingo,EEUU,1930,Sin escala
"Chicago, Illinois",Chicago-Detroit Airways,,Lockheed Vega,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,Septiembre,Lunes,EEUU,1930,Sin dato
"Near Craiova, Oltenia, Romania",CIDNA,Paris - Bucharest,Fokker F-VIIb-3m,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1931,Septiembre,Martes,ROMANIA,1930,Sin escala
"Oakland, California",Pacific Air Transport,"Oakland, CA - Seattle, WA",Boeing 40,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1931,Septiembre,Miércoles,EEUU,1930,Sin escala
"Novia Scotia, Canada",Deutsche Lufthansa,Sydney - New York,Heinkel HE-2,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1931,Octubre,Martes,CANADA,1930,Sin escala
Brazil,Syndicato Condor,,Dornier Wal,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1931,Octubre,Miércoles,BRAZIL,1930,Sin dato
"Camden, New Jersey","NY, Phil., Washington AW","Newark, NJ  - Camden, NJ - Washington DC",Lockheed Orion 9,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1931,Noviembre,Jueves,EEUU,1930,Con escala
"Sir Lowry's pass, South Africa",Union Airways,Durban - Cape Town,De Havilland DH.80,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1931,Noviembre,Viernes,SOUTH AFRICA,1930,Sin escala
"Salt Lake City, Utah",Boeing Air Transport,,Boeing 40,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,Noviembre,Lunes,EEUU,1930,Sin dato
"Near Tsinan, China",China National Aviation Corporation,Nanking - Peiking,Stinson,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1931,Noviembre,Martes,CHINA,1930,Sin escala
"Pasco, Washington",Varney Air Lines,"Portland,  OR - Pasco, WA",Boeing 40,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,Noviembre,Jueves,EEUU,1930,Sin escala
"Kewanee, Illinois",Braniff Airways,Kansas City - Chicago,Lockheed Vega 5,6.0,5.0,1.0,2.0,2.0,0.0,0.0,1931,Diciembre,Sábado,EEUU,1930,Sin escala
"Bangkok, Thailand",KLM Royal Dutch Airlines,Djakarta - Amsterdam -  Bangkok - Rangoon (Burma),Fokker F-VIIb-3M,7.0,3.0,4.0,5.0,2.0,3.0,0.0,1931,Diciembre,Domingo,THAILAND,1930,Con escala
Off Algiers,Aeropostale,Marseille - Algiers,CAMS 56,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1931,Diciembre,Miércoles,OFF ALGIERS,1930,Sin escala
"Springfield, Ohio",American Airways,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,5.0,4.0,1.0,4.0,4.0,0.0,0.0,1931,Diciembre,Jueves,EEUU,1930,Sin escala
"Colvin Park, Ilinois",Northwest Airways,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,Enero,Jueves,ILINOIS,1930,Con escala
"Lebec, California",Century Pacific Lines,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,8.0,7.0,1.0,8.0,7.0,1.0,0.0,1932,Enero,Viernes,EEUU,1930,Con escala
"Off Miami, Florida",Bimini Airways,Miami - Bimini,Fairchild,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1932,Febrero,Lunes,EEUU,1930,Sin escala
"Rio Vista, California",Boeing Air Transport,,Boeing 40,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1932,Febrero,Martes,EEUU,1930,Sin dato
"Marcellus, Michigan",Transamerican Airlines,Chicago - Kalamazoo,Stearman C-3MB,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,Febrero,Martes,EEUU,1930,Sin escala
"Off Setiba, Brazil",Aeropostale,,Latecoere 28,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1932,Febrero,Sábado,BRAZIL,1930,Sin dato
"Saint Louis, Illinois",Century Air Lines,Training,Stinson SM-6000B,5.0,0.0,5.0,3.0,0.0,3.0,0.0,1932,Marzo,Martes,EEUU,1930,Sin escala
"Calimesa, California",American Airways,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1932,Marzo,Sábado,EEUU,1930,Sin escala
"Steubenville, Ohio",Trans Continental and Western Air,Columbus - McKeesport,Northrop Alpha 3,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,Marzo,Lunes,EEUU,1930,Sin escala
"Rutbah Wells, Iraq",Air Orient,Damascus - Baghdad - Karachi,Farman F-190,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1932,Marzo,Martes,IRAQ,1930,Con escala
"Bedford, Ohio",National Air Transport,,Boeing 95,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,Marzo,Jueves,EEUU,1930,Sin dato
"Fort Wayne, Indiana",Transamerica Airlines,,Stearman C-3MB,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,Abril,Jueves,EEUU,1930,Sin dato
"Burbank, California",Pacific Air Transport,San Diego - Burbank - Oakland,Boeing 40,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1932,Mayo,Lunes,EEUU,1930,Con escala
"Portland, Oregon",Varney Air Lines,,Boeing 40,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1932,Mayo,Lunes,EEUU,1930,Sin dato
"Mount El Plomo, near Vitacura, Chile",Panagra,"Santiago, Chile - Mendosa, Argentina",Ford 5-AT-C Tri Motor,9.0,6.0,3.0,9.0,6.0,3.0,0.0,1932,Julio,Sábado,CHILE,1930,Sin escala
"Beyrouth, Lebanon",Air Orient,Marseille - Naples - Beyrouth - Saigon,CAMS 53,7.0,3.0,4.0,0.0,0.0,0.0,0.0,1932,Agosto,Viernes,LEBANON,1930,Con escala
"Tubergen, Germany",A B Aerotransport,Amsterdam - Hanover - Copenagen - Malmö,Junkers G-23,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1932,Agosto,Miércoles,GERMANY,1930,Con escala
"Salt Flats, Texas",American Airways,El Paso - Dallas,Fokker F-10,4.0,2.0,2.0,3.0,1.0,2.0,0.0,1932,Septiembre,Jueves,EEUU,1930,Sin escala
"Selsdon Park, England",Air Union,,Liore-et-Olivier 213,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1932,Septiembre,Sábado,ENGLAND,1930,Sin dato
"Byron Bay, Australia",New England Airways,Sydney - Lismore - Brisbane,De Havilland DH-80,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1932,Septiembre,Domingo,AUSTRALIA,1930,Con escala
"Port Etienne, Mauritania",Aeropostale,Dakar - Port Etienne - Algiers - Paris,Latecoere 28,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,Octubre,Miércoles,MAURITANIA,1930,Con escala
"Villa Monte, Bolivia",Lloyd Aero Boliviano,,Ford Tri-motor 5,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1932,Octubre,Miércoles,BOLIVIA,1930,Sin dato
"Ramsgate, England",Deutsche Lufthansa,London - Cologne - Berlin,Junkers W-33,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1932,Octubre,Sábado,ENGLAND,1930,Con escala
"Echterpfuhl, Germany",Deutsche Lufthansa,Nuremberg - Frankfort,Junkers F-13,5.0,3.0,2.0,5.0,3.0,2.0,0.0,1932,Noviembre,Miércoles,GERMANY,1930,Sin escala
"Marianna, Arkansas",Hunter Airways,"Little Rock, AR - Memphis, TN",Travel Air 6000,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1932,Noviembre,Viernes,EEUU,1930,Sin escala
"Amarillo, Texas",Trans Continental and Western Air,,Ford 5,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1932,Diciembre,Miércoles,EEUU,1930,Sin dato
"Rocky Ridge, Colorado",Boeing Air Transport,,Boeing 40,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,Diciembre,Miércoles,EEUU,1930,Sin dato
"Wau, Australia",Guinea Airways,,De Havilland DH-60,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,Diciembre,Lunes,AUSTRALIA,1930,Sin dato
Algiers,Aeropostale,,CAMS 53,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1933,Enero,Martes,ALGIERS,1930,Sin dato
"Newark, New Jersey",Eastern Air Transport,Test flight,Curtiss Condor 18,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1933,Enero,Sábado,EEUU,1930,Sin escala
"Marietta, Georgia",American Airways,,Stearman 4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1933,Enero,Viernes,EEUU,1930,Sin dato
"Bourne, Texas",American Airways,Big Springs - San Antonio,Stearman 4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1933,Enero,Viernes,EEUU,1930,Sin escala
"Eugene, Oregon",Pacific Air Transport,,Ford 5-AT-D,3.0,1.0,2.0,2.0,0.0,2.0,0.0,1933,Enero,Martes,EEUU,1930,Sin dato
"Near Mendoza, Argentina",Pan American Grace Airways,"Mendoza, Argentina - Santiago, Chili",Fairchild FC-2W,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1933,Marzo,Sábado,ARGENTINA,1930,Sin escala
"Hayward, California",Varney Airlines,Burbank - San Francisco,Lockheed Orion 9,3.0,2.0,1.0,3.0,2.0,1.0,11.0,1933,Marzo,Sábado,EEUU,1930,Sin escala
"Near Dixmude, Belgium",Imperial Airways,"Cologne, Germany - Croydon, England",Armstrong Whitworth Argosy II,15.0,12.0,3.0,15.0,12.0,3.0,0.0,1933,Marzo,Martes,BELGIUM,1930,Sin escala
"Hemkenrode, Germany",Deutsche Lufthansa,,Junkers F-13,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1933,Abril,Lunes,GERMANY,1930,Sin dato
"Off Barnegat, New Jersey",Military - U.S. Navy,,Goodyear-Zeppelin U.S.S. Akron (airship),76.0,,,73.0,,,0.0,1933,Abril,Martes,EEUU,1930,Sin dato
"Near Castrovillari, Calabria, Italy",Air Orient,Corfu - Naples,Cams 53-1,8.0,5.0,3.0,5.0,2.0,3.0,0.0,1933,Abril,Domingo,ITALY,1930,Sin escala
"Traunstein, Germany",Eurasia,,Junkers W-34,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1933,Abril,Sábado,GERMANY,1930,Sin dato
"Near Viladrau, Spain",Aeropostale - La Tecoere Company,Paris - Morroco,Latecoere 28-1,6.0,3.0,3.0,6.0,3.0,3.0,0.0,1933,Mayo,Martes,SPAIN,1930,Sin escala
"Bowling Green, Virginia",Eastern Air Transport,,Pitcairns PA-6,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1933,Junio,Domingo,EEUU,1930,Sin dato
"Glenview, Illinois",Palwaukee,Sightseeing,Sikorsky S-38B (flying boat),9.0,7.0,2.0,9.0,7.0,2.0,0.0,1933,Junio,Domingo,EEUU,1930,Sin escala
Aegean Sea,Societa Anonima Aero Expresso Italiana,Athens - Rhodes,CMASA Wal (flying boat),6.0,2.0,4.0,6.0,2.0,4.0,0.0,1933,Julio,Martes,AEGEAN SEA,1930,Sin escala
"Quay, New Mexico",Trans Continental and Western Air,"Amarillo, TX - Albuquerque, NM",Ford 5-AT-B Tri Motor,5.0,3.0,2.0,5.0,3.0,2.0,0.0,1933,Agosto,Martes,NEW MEXICO,1930,Sin escala
"Near Ljubljana, Yugoslavia",Aeroput,"Ljubjana - Susak, Croatia",Farman F-306,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1933,Septiembre,Martes,YUGOSLAVIA,1930,Sin escala
"Chesterton, Indiana",United Air Lines,Newark - Cleveland - Chicago - Oakland,Boeing 247,10.0,7.0,3.0,10.0,7.0,3.0,0.0,1933,Octubre,Martes,EEUU,1930,Con escala
"Etobon, France",Air France,Zurich - Basel - Paris,Farman F-301,5.0,2.0,3.0,2.0,1.0,1.0,0.0,1933,Octubre,Martes,FRANCE,1930,Con escala
"Portland, Oregon",United Air Lines,"Seattle, WA - Dallas, TX",Boeing 247,10.0,7.0,3.0,4.0,3.0,1.0,,1933,Noviembre,Jueves,EEUU,1930,Sin escala
"Moriarty, New Mexico",Trans Continental and Western Air,,Northrop Delta,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1933,Noviembre,Viernes,NEW MEXICO,1930,Sin dato
"Near Tsinan, China",China National Aviation Corporation,Canton - Shanghai,Stinson,8.0,7.0,1.0,8.0,7.0,1.0,,1933,Noviembre,Lunes,CHINA,1930,Sin escala
"Near Kharkov, Ukraine, USSR",Kalinin,Test flight,Kalinin K-7,20.0,0.0,20.0,14.0,0.0,14.0,0.0,1933,Noviembre,Martes,USSR,1930,Sin escala
"Wedron, Illinois",National Air Transport,,Boeing 247,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1933,Noviembre,Viernes,EEUU,1930,Sin dato
"Hamburg, Germany",Deutsche Lufthansa,Berlin - Hamburg,Focke-Wulf A-17,10.0,8.0,2.0,6.0,4.0,2.0,0.0,1933,Diciembre,Lunes,GERMANY,1930,Sin escala
"Eshowe, South Africa",Union Airways,,Junkers W-34,6.0,4.0,2.0,5.0,3.0,2.0,0.0,1933,Diciembre,Jueves,SOUTH AFRICA,1930,Sin dato
"Near Ruysselede, Belgium",Imperial Airways,"Brussels, Belgium - Croydon, England",Avro 10,10.0,8.0,2.0,10.0,8.0,2.0,0.0,1933,Diciembre,Sábado,BELGIUM,1930,Sin escala
"Corbigny, France",Air France,Saigon - Paris,Dewoitine D-332,14.0,10.0,4.0,14.0,10.0,4.0,0.0,1934,Enero,Lunes,FRANCE,1930,Sin escala
"Carombe, France",Air France,,Breguet 280T,2.0,,,2.0,,,0.0,1934,Enero,Sábado,FRANCE,1930,Sin dato
"Near Salt Lake City, Utah",Boeing Aircraft Company,Salt Lake City - Cheyenne,Boeing 247,8.0,5.0,3.0,8.0,5.0,3.0,0.0,1934,Febrero,Viernes,EEUU,1930,Sin escala
"Rio de Oro, Morocco",Air France,,Latécoère 28,6.0,,,1.0,,,0.0,1934,Febrero,Lunes,MOROCCO,1930,Sin dato
"Petersburg, Illinois",American Airways,"St. Louis, MO - Chicago, IL",Fairchild Pilgrim 100A,4.0,3.0,1.0,4.0,3.0,,0.0,1934,Marzo,Martes,EEUU,1930,Sin escala
"Pereira, Colombia",Pan American Airways (Scadta),Quiddo - Cartago,Sikorsky S-38 Flying Boat,6.0,4.0,2.0,5.0,3.0,2.0,0.0,1934,Marzo,Sábado,COLOMBIA,1930,Sin escala
"Near Lima, Peru",Pan American Grace Airlines,,Ford 5-AT-C Tri-Motor,15.0,12.0,3.0,3.0,0.0,3.0,0.0,1934,Marzo,Jueves,PERU,1930,Sin dato
"Ningpo Bay, China",China National Aviation Corporation,,Sikorsky S-38BB,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1934,Abril,Martes,CHINA,1930,Sin dato
English Channel,Air France,"Dieppe, France - New Haven, England",Wibault 282T,6.0,3.0,3.0,6.0,3.0,3.0,0.0,1934,Mayo,Miércoles,ENGLISH CHANNEL,1930,Sin escala
"Croydon, England",Air France,"Croydon, England - Paris, France",Liore-et-Olivier 213,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1934,Mayo,Jueves,ENGLAND,1930,Sin escala
"Mongaup Mountain, New York",American Airways,New York - Chicago,Curtiss Condor T-32,7.0,4.0,3.0,7.0,4.0,3.0,0.0,1934,Junio,Sábado,EEUU,1930,Sin escala
"Junin, Argentina",Panagra,Buenos Aires - Santiago,Ford 5-AT-C Tri-Motor,10.0,7.0,3.0,6.0,3.0,3.0,0.0,1934,Junio,Lunes,ARGENTINA,1930,Sin escala
"Chausseehausen, Germany",Deutsche Lufthansa,,Dornier Merkur,7.0,5.0,2.0,1.0,0.0,1.0,0.0,1934,Junio,Viernes,GERMANY,1930,Sin dato
"Burbank, California",Aerevias Centrales Air Service,Mexico - Burbank,Lockheed Orion,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1934,Junio,Sábado,EEUU,1930,Sin escala
"San Bernardino, California",United Air Services,San Bernardion - Los Angeles,Lockheed Vega,4.0,3.0,1.0,3.0,2.0,1.0,0.0,1934,Julio,Lunes,EEUU,1930,Sin escala
"Near Tuttlingen, Germany",Swissair,Zurich - Stuttgart - Leipzig - Berlin,Curtiss AT-32C Condor,12.0,9.0,3.0,12.0,9.0,3.0,0.0,1934,Julio,Viernes,GERMANY,1930,Con escala
"Bahia, Brazil",Air France,,Latecoere 26,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1934,Agosto,Domingo,BRAZIL,1930,Sin dato
"Ningbo, China",China National Aviation Corporation,,Sikorsky S-38B,,,,,,,,1934,Agosto,Viernes,CHINA,1930,Sin dato
"Amazonia, Missouri",Rapid Air Transport,Kansas City - Saint Joseph - Omaha,Stinson  SM-6000B,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1934,Agosto,Viernes,EEUU,1930,Con escala
English Channel,Hillman's Airways,Croydon - Paris,de havilland 89 Dragon Rapide,7.0,6.0,1.0,7.0,6.0,1.0,0.0,1934,Octubre,Martes,ENGLISH CHANNEL,1930,Sin escala
"Near Winton, Australia",Qantas,,de Havilland DH-50A,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1934,Octubre,Miércoles,AUSTRALIA,1930,Sin dato
"Bass Strait, Australia",Holymans Airways,"Launceston, Tasmania - Melbourne, Australia",de Havilland DH-86,11.0,9.0,2.0,11.0,9.0,2.0,0.0,1934,Octubre,Viernes,AUSTRALIA,1930,Sin escala
"Kiapit, Australia",Holdens Air Transport Service,Rabaul - Kaiapit,De Havilland DH-61,4.0,2.0,2.0,2.0,2.0,0.0,0.0,1934,Noviembre,Viernes,AUSTRALIA,1930,Sin escala
"Amazonia, Montana",Rapid Air Transport,Omaha - Kansas City,Stinson SM-6000-B,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1934,Noviembre,Jueves,EEUU,1930,Sin escala
"Near Longreach, Australia",Qantas,London - Sydney,de Havilland DH-86,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1934,Noviembre,Jueves,AUSTRALIA,1930,Sin escala
"Salchau, Germany",Deutsche Lufthansa,Berlin - Hanover,Junkers F-13,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1934,Diciembre,Viernes,GERMANY,1930,Sin escala
"Columbia, Missouri",Braniff Airlines,"Kansas City, MO - Chicago, IL",Lockheed Vega 5C,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1934,Diciembre,Sábado,EEUU,1930,Sin escala
"Palma Soriano, Cuba",Cubana de Aviacion,Havana - Santiago de Cuba,Ford 4-AT-E Tri-motor,8.0,5.0,3.0,4.0,2.0,2.0,0.0,1934,Diciembre,Lunes,CUBA,1930,Sin escala
"Rutbah Wells, Syria",KLM Royal Dutch Airlines,"Amsterdam - Batavia, Java",Douglas DC-2-115A,7.0,3.0,4.0,7.0,3.0,4.0,0.0,1934,Diciembre,Jueves,SYRIA,1930,Sin escala
"Sunbright, Tennessee",American Airlines,"Louisville, KY - Nashville, TN",Lockheed Orion 9D,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1934,Diciembre,Sábado,EEUU,1930,Sin escala
,Aeroflot,,Tupolev ANT-9,10.0,8.0,2.0,10.0,8.0,2.0,0.0,1934,Diciembre,Lunes,?,1930,Sin dato
"Near Karachi, Pakistan",Indian Air Force,Training,Wapiti,2.0,0.0,2.0,0.0,0.0,2.0,15.0,1935,Enero,Martes,PAKISTAN,1930,Sin escala
"Pittsburgh, Pennsylvania",Trans Continental and Western Air,"Newark, NJ - Columbus, OH",Consolidated Fleetster,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1935,Enero,Sábado,EEUU,1930,Sin escala
"Stettin, Germany",Deruluft,Koenigberg - Berlin,Junkers JU-52/3m,11.0,8.0,3.0,11.0,8.0,3.0,0.0,1935,Enero,Jueves,GERMANY,1930,Sin escala
"Off Point Sur, Californiia",Military - US Navy,,Goodyear-Zeppelin U.S.S. Macon (airship),83.0,0.0,83.0,2.0,0.0,2.0,0.0,1935,Febrero,Martes,CALIFORNIIA,1930,Sin dato
"Schievelbein, Germany",Deruluft,,Rochrbach Roland,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1935,Marzo,Jueves,GERMANY,1930,Sin dato
"El Arish, Egypt",Misrair,Jerusalem - Cairo,de Havilland Dragon 1,6.0,5.0,1.0,3.0,2.0,1.0,0.0,1935,Marzo,Viernes,EGYPT,1930,Sin escala
"Off Samland, Germany",Deutsche Lufthansa,Training,Junkers F-13,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1935,Marzo,Viernes,GERMANY,1930,Sin escala
"Beauvais, France",Air France,,Farman F-300,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1935,Abril,Lunes,FRANCE,1930,Sin dato
"Brilon, Germany",KLM Royal Dutch Airlines,Prague Leipzig Essen Amsterdam Rotterdam,Fokker F-12,7.0,2.0,5.0,7.0,2.0,5.0,0.0,1935,Abril,Sábado,GERMANY,1930,Sin escala
"Near Walsenberg, Colorado",Varney Air Lines,Pueblo - El Paso,Lockheed Vega,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1935,Mayo,Miércoles,EEUU,1930,Sin escala
"Atlanta, Missouri",Trans Continental and Western Air,Los Angeles - Albuquerque - Kanasas City -  Washington,Douglas DC-2-112,14.0,12.0,2.0,5.0,3.0,2.0,0.0,1935,Mayo,Lunes,EEUU,1930,Con escala
"Near Moscow, Russia",Gor'ky Eskadril'ya,Demonstration,Tupolev ANT-20 / I-5,50.0,37.0,13.0,50.0,37.0,13.0,2.0,1935,Mayo,Sábado,RUSSIA,1930,Sin escala
"Flint, Michigan",Knowles Flying Service of Detroit,Sightseeing,Ford model 4-AT-E,12.0,11.0,1.0,3.0,2.0,1.0,0.0,1935,Mayo,Sábado,EEUU,1930,Sin escala
"Glendo, Wyoming",Wyoming Air Service,Billings - Sheridan - Casper - Cheyenne,Boeing 221,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1935,Mayo,Lunes,EEUU,1930,Con escala
"Maywood, Illinois",Chicago and Southern Airlines,Chicago - St. Louis,Stinson SM6000B Tri-motor,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1935,Mayo,Martes,EEUU,1930,Sin escala
"San Barbra, Honduras",,,,9.0,,,6.0,,,0.0,1935,Mayo,Miércoles,HONDURAS,1930,Sin dato
"Medellin, Colombia",Servicio Aereo Columbiano / SCADTA,Medellin - Bogotá,Ford Tri-Motor / Ford Tri-Motor,20.0,18.0,2.0,17.0,15.0,2.0,0.0,1935,Junio,Lunes,COLOMBIA,1930,Sin escala
"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Amsterdam - Sweden,Fokker F-XXII,20.0,15.0,5.0,6.0,2.0,4.0,0.0,1935,Julio,Domingo,NETHERLANDS,1930,Sin escala
"Off Chandeleur Island, Mississippi",Wedell-Williams Air Service Corporation,"New Orleans, LA - Mobile, AL",General 102-E,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1935,Julio,Viernes,EEUU,1930,Sin escala
"Pian Giacomo, Switzerland",KLM Royal Dutch Airlines,Milan - Frankfort - Amsterdam,Douglas DC-2,13.0,9.0,4.0,13.0,9.0,4.0,0.0,1935,Julio,Sábado,SWITZERLAND,1930,Con escala
"Cardiff, United Kingdom",Jersey Airways,Cardiff - Saint-Helier,de Havilland DH-84 Dragon,8.0,7.0,1.0,1.0,3.0,0.0,0.0,1935,Julio,Martes,UNITED KINGDOM,1930,Con escala
